Ville,Lien,Population,Densité de population,Nombre de ménages,Habitants par ménage,Nombre de familles,Naissances,Décès,Solde naturel,Hommes,Femmes,Moins de 15 ans,15 - 29 ans,30 - 44 ans,45 - 59 ans,60 - 74 ans,75 ans et plus,Familles monoparentales,Couples sans enfant,Couples avec enfant,Familles sans enfant,Familles avec un enfant,Familles avec deux enfants,Familles avec trois enfants,Familles avec quatre enfants ou plus,Personnes célibataires,Personnes mariées,Personnes divorcées,Personnes veuves,Personnes en concubinage,Personnes pacsées,Population étrangère,Hommes étrangers,Femmes étrangères,Moins de 15 ans étrangers,15-24 ans étrangers,25-54 ans étrangers,55 ans et plus étrangers,Population immigrée,Hommes immigrés,Femmes immigrées,Moins de 15 ans immigrés,15-24 ans immigrés,25-54 ans immigrés,55 ans et plus immigrés,nbre habitants (2006),nbre habitants (2007),nbre habitants (2008),nbre habitants (2009),nbre habitants (2010),nbre habitants (2011),nbre habitants (2012),nbre habitants (2013),nbre habitants (2014),nbre habitants (2015),nbre habitants (2016),nbre habitants (2017),nbre habitants (2018),nbre naissances (1999),nbre naissances (2000),nbre naissances (2001),nbre naissances (2002),nbre naissances (2003),nbre naissances (2004),nbre naissances (2005),nbre naissances (2006),nbre naissances (2007),nbre naissances (2008),nbre naissances (2009),nbre naissances (2010),nbre naissances (2011),nbre naissances (2012),nbre naissances (2013),nbre naissances (2014),nbre naissances (2015),nbre naissances (2016),nbre naissances (2017),nbre naissances (2018),nbre naissances (2019),nbre deces (1999),nbre deces (2000),nbre deces (2001),nbre deces (2002),nbre deces (2003),nbre deces (2004),nbre deces (2005),nbre deces (2006),nbre deces (2007),nbre deces (2008),nbre deces (2009),nbre deces (2010),nbre deces (2011),nbre deces (2012),nbre deces (2013),nbre deces (2014),nbre deces (2015),nbre deces (2016),nbre deces (2017),nbre deces (2018),nbre deces (2019),nbre étrangers (2006),nbre étrangers (2007),nbre étrangers (2008),nbre étrangers (2009),nbre étrangers (2010),nbre étrangers (2011),nbre étrangers (2012),nbre étrangers (2013),nbre étrangers (2014),nbre étrangers (2015),nbre étrangers (2016),nbre étrangers (2017),nbre étrangers (2018),nbre immigrés (2006),nbre immigrés (2007),nbre immigrés (2008),nbre immigrés (2009),nbre immigrés (2010),nbre immigrés (2011),nbre immigrés (2012),nbre immigrés (2013),nbre immigrés (2014),nbre immigrés (2015),nbre immigrés (2016),nbre immigrés (2017),nbre immigrés (2018)
Boutigny (77470),https://www.journaldunet.com/management/ville/boutigny/ville-77049/demographie,854.0,86.0,350.0,2.4,275.0,15.0,5.0,10.0,427.0,427.0,138.0,134.0,156.0,213.0,166.0,45.0,20.0,115.0,140.0,150.0,65.0,45.0,15.0,0.0,153.0,378.0,21.0,27.0,82.0,55.0,18.0,8.0,10.0,2.0,0.0,13.0,3.0,33.0,15.0,18.0,1.0,0.0,20.0,12.0,837.0,842.0,847.0,859.0,875.0,878.0,877.0,877.0,873.0,879.0,870.0,862.0,854.0,6.0,9.0,7.0,8.0,9.0,11.0,5.0,7.0,8.0,6.0,11.0,13.0,5.0,6.0,3.0,8.0,13.0,10.0,9.0,9.0,15.0,5.0,3.0,1.0,2.0,3.0,5.0,2.0,4.0,1.0,4.0,8.0,3.0,2.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0,14.0,14.0,14.0,14.0,14.0,11.0,11.0,11.0,11.0,11.0,18.0,18.0,18.0,25.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,24.0,24.0,33.0,33.0,33.0
Verneuil-l'Étang (77390),https://www.journaldunet.com/management/ville/verneuil-l-etang/ville-77493/demographie,3223.0,413.0,1189.0,2.7,923.0,42.0,14.0,28.0,1581.0,1642.0,681.0,640.0,640.0,726.0,396.0,128.0,141.0,318.0,464.0,413.0,155.0,243.0,69.0,43.0,702.0,1205.0,116.0,95.0,360.0,66.0,174.0,87.0,87.0,23.0,10.0,89.0,52.0,263.0,132.0,131.0,8.0,13.0,147.0,95.0,3069.0,3058.0,3142.0,3139.0,3167.0,3185.0,3203.0,3239.0,3223.0,3214.0,3226.0,3237.0,3223.0,32.0,53.0,48.0,45.0,38.0,43.0,33.0,34.0,35.0,48.0,30.0,40.0,32.0,39.0,41.0,30.0,31.0,36.0,24.0,30.0,42.0,13.0,10.0,12.0,11.0,12.0,11.0,17.0,18.0,9.0,13.0,11.0,14.0,15.0,14.0,10.0,9.0,20.0,18.0,25.0,13.0,14.0,138.0,138.0,141.0,142.0,139.0,139.0,139.0,139.0,139.0,174.0,174.0,174.0,174.0,191.0,191.0,196.0,195.0,222.0,224.0,224.0,227.0,225.0,264.0,265.0,265.0,263.0
Gironville (77890),https://www.journaldunet.com/management/ville/gironville/ville-77207/demographie,153.0,11.0,59.0,2.6,44.0,3.0,2.0,1.0,81.0,72.0,25.0,27.0,23.0,43.0,25.0,10.0,0.0,20.0,25.0,20.0,10.0,5.0,10.0,0.0,34.0,56.0,9.0,7.0,19.0,4.0,4.0,2.0,2.0,0.0,0.0,3.0,1.0,6.0,3.0,3.0,0.0,0.0,3.0,3.0,190.0,193.0,188.0,188.0,179.0,170.0,161.0,159.0,158.0,157.0,156.0,155.0,153.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,11.0,11.0,11.0,11.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0
Conches-sur-Gondoire (77600),https://www.journaldunet.com/management/ville/conches-sur-gondoire/ville-77124/demographie,1756.0,1155.0,635.0,2.8,530.0,12.0,29.0,-17.0,847.0,909.0,302.0,234.0,305.0,342.0,324.0,198.0,70.0,235.0,225.0,255.0,105.0,140.0,30.0,0.0,280.0,767.0,57.0,130.0,130.0,90.0,80.0,35.0,45.0,12.0,3.0,28.0,37.0,126.0,43.0,83.0,4.0,5.0,42.0,75.0,1722.0,1722.0,1723.0,1735.0,1740.0,1735.0,1729.0,1724.0,1724.0,1727.0,1737.0,1746.0,1756.0,19.0,19.0,10.0,14.0,13.0,10.0,23.0,15.0,15.0,19.0,16.0,15.0,13.0,21.0,16.0,13.0,15.0,10.0,8.0,17.0,12.0,33.0,21.0,23.0,35.0,31.0,20.0,25.0,33.0,29.0,30.0,21.0,35.0,16.0,21.0,14.0,12.0,33.0,29.0,34.0,30.0,29.0,73.0,73.0,73.0,73.0,73.0,59.0,61.0,61.0,61.0,61.0,78.0,79.0,80.0,116.0,116.0,116.0,116.0,116.0,127.0,130.0,129.0,129.0,130.0,123.0,125.0,126.0
Saint-Martin-en-Bière (77630),https://www.journaldunet.com/management/ville/saint-martin-en-biere/ville-77425/demographie/demographie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Plessis-Placy (77440),https://www.journaldunet.com/management/ville/le-plessis-placy/ville-77367/demographie/demographie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misy-sur-Yonne (77130),https://www.journaldunet.com/management/ville/misy-sur-yonne/ville-77293/demographie/demographie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boisdon (77970),https://www.journaldunet.com/management/ville/boisdon/ville-77036/demographie/demographie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Denis-lès-Rebais (77510),https://www.journaldunet.com/management/ville/saint-denis-les-rebais/ville-77406/demographie,994.0,66.0,370.0,2.7,315.0,6.0,6.0,0.0,487.0,507.0,187.0,158.0,176.0,245.0,161.0,57.0,20.0,145.0,150.0,160.0,80.0,50.0,20.0,5.0,165.0,437.0,25.0,33.0,91.0,56.0,29.0,15.0,14.0,1.0,1.0,13.0,14.0,63.0,30.0,33.0,0.0,1.0,24.0,38.0,897.0,914.0,931.0,944.0,951.0,946.0,941.0,936.0,935.0,936.0,955.0,975.0,994.0,7.0,11.0,11.0,13.0,10.0,6.0,13.0,13.0,7.0,12.0,8.0,9.0,9.0,4.0,9.0,12.0,7.0,11.0,10.0,8.0,6.0,1.0,3.0,5.0,6.0,7.0,7.0,3.0,3.0,4.0,2.0,6.0,1.0,5.0,3.0,5.0,5.0,3.0,4.0,6.0,4.0,6.0,24.0,24.0,24.0,24.0,24.0,31.0,32.0,32.0,32.0,32.0,29.0,29.0,29.0,45.0,47.0,47.0,47.0,47.0,53.0,55.0,55.0,55.0,55.0,60.0,63.0,63.0
Machault (77133),https://www.journaldunet.com/management/ville/machault/ville-77266/demographie,781.0,48.0,291.0,2.7,236.0,3.0,5.0,-2.0,391.0,390.0,173.0,115.0,169.0,167.0,121.0,32.0,40.0,85.0,110.0,100.0,70.0,35.0,20.0,10.0,140.0,279.0,24.0,24.0,69.0,71.0,24.0,15.0,9.0,1.0,0.0,12.0,11.0,39.0,22.0,17.0,0.0,0.0,18.0,21.0,685.0,694.0,702.0,710.0,722.0,739.0,755.0,771.0,787.0,788.0,785.0,783.0,781.0,8.0,10.0,4.0,7.0,7.0,10.0,14.0,9.0,13.0,11.0,8.0,10.0,11.0,7.0,12.0,8.0,5.0,9.0,12.0,10.0,3.0,7.0,6.0,6.0,3.0,3.0,6.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,3.0,5.0,4.0,4.0,1.0,2.0,5.0,22.0,29.0,29.0,29.0,29.0,29.0,37.0,37.0,37.0,37.0,37.0,24.0,24.0,19.0,36.0,36.0,36.0,36.0,36.0,44.0,45.0,45.0,45.0,45.0,39.0,39.0
Monthyon (77122),https://www.journaldunet.com/management/ville/monthyon/ville-77309/demographie,1730.0,143.0,623.0,2.8,492.0,20.0,10.0,10.0,852.0,878.0,362.0,336.0,384.0,346.0,214.0,72.0,87.0,149.0,256.0,169.0,138.0,110.0,50.0,25.0,350.0,584.0,70.0,72.0,213.0,79.0,52.0,22.0,30.0,4.0,2.0,29.0,17.0,80.0,34.0,46.0,1.0,4.0,47.0,28.0,1604.0,1629.0,1638.0,1640.0,1642.0,1644.0,1652.0,1684.0,1693.0,1701.0,1710.0,1707.0,1730.0,13.0,21.0,25.0,36.0,26.0,25.0,24.0,27.0,24.0,18.0,17.0,25.0,24.0,25.0,26.0,25.0,14.0,15.0,21.0,18.0,20.0,6.0,7.0,8.0,15.0,17.0,15.0,15.0,6.0,14.0,15.0,11.0,15.0,15.0,8.0,11.0,8.0,10.0,11.0,8.0,9.0,10.0,45.0,45.0,45.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0,52.0,52.0,52.0,71.0,71.0,72.0,69.0,69.0,69.0,69.0,70.0,80.0,80.0,80.0,80.0,80.0
Sancy (77580),https://www.journaldunet.com/management/ville/sancy/ville-77443/demographie,386.0,70.0,134.0,2.9,119.0,12.0,0.0,12.0,191.0,195.0,88.0,64.0,88.0,90.0,44.0,11.0,15.0,35.0,69.0,40.0,35.0,35.0,10.0,0.0,61.0,148.0,10.0,11.0,45.0,24.0,19.0,8.0,11.0,1.0,1.0,11.0,6.0,29.0,12.0,17.0,0.0,0.0,19.0,10.0,336.0,353.0,368.0,383.0,384.0,382.0,379.0,379.0,379.0,378.0,380.0,383.0,386.0,5.0,1.0,9.0,2.0,3.0,3.0,2.0,6.0,6.0,6.0,4.0,7.0,2.0,3.0,1.0,4.0,5.0,10.0,3.0,3.0,12.0,1.0,5.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,12.0,15.0,15.0,15.0,15.0,15.0,12.0,12.0,12.0,12.0,12.0,19.0,19.0,13.0,19.0,20.0,20.0,20.0,20.0,26.0,26.0,26.0,26.0,26.0,29.0,29.0
Serris (77700),https://www.journaldunet.com/management/ville/serris/ville-77449/demographie,9236.0,1635.0,3830.0,2.4,2455.0,137.0,37.0,100.0,4510.0,4726.0,1986.0,2266.0,2334.0,1654.0,676.0,252.0,440.0,785.0,1230.0,910.0,680.0,635.0,170.0,60.0,2555.0,2714.0,372.0,218.0,1046.0,345.0,,,,,,,,2035.0,895.0,1140.0,101.0,203.0,1319.0,412.0,6061.0,6592.0,7123.0,7402.0,7595.0,7866.0,8117.0,8369.0,8603.0,8621.0,8843.0,9040.0,9236.0,53.0,61.0,54.0,84.0,69.0,107.0,101.0,133.0,155.0,155.0,179.0,142.0,156.0,160.0,150.0,166.0,138.0,123.0,135.0,136.0,137.0,7.0,5.0,5.0,12.0,6.0,11.0,8.0,10.0,9.0,9.0,20.0,25.0,25.0,20.0,31.0,29.0,35.0,39.0,40.0,31.0,37.0,,,,,,,,,,,,,,1105.0,1204.0,1300.0,1355.0,1383.0,1453.0,1585.0,1636.0,1678.0,1681.0,1952.0,1992.0,2035.0
Bréau (77720),https://www.journaldunet.com/management/ville/breau/ville-77052/demographie,336.0,249.0,127.0,2.6,102.0,4.0,2.0,2.0,161.0,175.0,68.0,58.0,61.0,86.0,53.0,7.0,15.0,34.0,54.0,44.0,29.0,19.0,5.0,5.0,58.0,128.0,13.0,10.0,38.0,21.0,11.0,8.0,3.0,0.0,2.0,6.0,3.0,18.0,11.0,7.0,0.0,0.0,8.0,10.0,354.0,352.0,355.0,358.0,351.0,346.0,340.0,335.0,329.0,325.0,318.0,327.0,336.0,6.0,4.0,4.0,7.0,4.0,3.0,5.0,5.0,6.0,6.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,6.0,4.0,0.0,2.0,3.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,0.0,1.0,4.0,2.0,5.0,16.0,16.0,16.0,16.0,16.0,8.0,8.0,8.0,8.0,8.0,11.0,11.0,5.0,21.0,21.0,21.0,21.0,21.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Chevrainvilliers (77760),https://www.journaldunet.com/management/ville/chevrainvilliers/ville-77112/demographie,250.0,28.0,110.0,2.3,75.0,2.0,2.0,0.0,132.0,118.0,47.0,34.0,49.0,52.0,49.0,19.0,5.0,40.0,30.0,50.0,10.0,5.0,10.0,0.0,39.0,90.0,6.0,13.0,37.0,18.0,7.0,5.0,2.0,0.0,0.0,6.0,1.0,13.0,7.0,6.0,0.0,0.0,9.0,4.0,223.0,222.0,222.0,221.0,224.0,223.0,222.0,221.0,226.0,225.0,233.0,242.0,250.0,0.0,4.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,0.0,3.0,3.0,3.0,3.0,5.0,1.0,4.0,4.0,5.0,2.0,0.0,3.0,2.0,0.0,1.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,3.0,3.0,2.0,2.0,6.0,0.0,3.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0
Vulaines-sur-Seine (77870),https://www.journaldunet.com/management/ville/vulaines-sur-seine/ville-77533/demographie/demographie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diant (77940),https://www.journaldunet.com/management/ville/diant/ville-77158/demographie,198.0,18.0,85.0,2.3,60.0,2.0,2.0,0.0,92.0,106.0,30.0,37.0,30.0,41.0,40.0,18.0,0.0,30.0,30.0,35.0,15.0,10.0,0.0,0.0,34.0,70.0,8.0,16.0,35.0,4.0,4.0,1.0,3.0,2.0,1.0,1.0,0.0,14.0,6.0,8.0,1.0,1.0,4.0,8.0,206.0,208.0,212.0,213.0,205.0,196.0,187.0,183.0,181.0,186.0,192.0,197.0,198.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,5.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,0.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0,14.0,14.0,14.0
Le Mée-sur-Seine (77350),https://www.journaldunet.com/management/ville/le-mee-sur-seine/ville-77285/demographie,21071.0,3946.0,7872.0,2.7,5467.0,370.0,138.0,232.0,9866.0,11205.0,5363.0,3951.0,4106.0,3863.0,2485.0,1123.0,1427.0,1422.0,2618.0,1847.0,1309.0,1176.0,743.0,394.0,5187.0,6437.0,1121.0,881.0,1706.0,374.0,4226.0,1953.0,2273.0,1175.0,477.0,1959.0,615.0,5208.0,2468.0,2740.0,302.0,617.0,3102.0,1187.0,20580.0,20844.0,20827.0,20478.0,20609.0,20693.0,20577.0,20713.0,20766.0,20756.0,20749.0,20816.0,21071.0,379.0,373.0,360.0,345.0,358.0,331.0,394.0,407.0,357.0,398.0,338.0,402.0,363.0,325.0,361.0,384.0,342.0,351.0,324.0,344.0,370.0,144.0,143.0,113.0,144.0,158.0,117.0,97.0,119.0,116.0,116.0,124.0,129.0,121.0,123.0,116.0,141.0,148.0,141.0,123.0,139.0,138.0,2417.0,2425.0,2409.0,2463.0,2728.0,2917.0,3240.0,3403.0,3535.0,3831.0,4164.0,4130.0,4226.0,3325.0,3594.0,3703.0,3766.0,4019.0,4232.0,4283.0,4454.0,4584.0,4815.0,4985.0,5044.0,5208.0
Saint-Mesmes (77410),https://www.journaldunet.com/management/ville/saint-mesmes/ville-77427/demographie/demographie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germigny-l'Évêque (77910),https://www.journaldunet.com/management/ville/germigny-l-eveque/ville-77203/demographie/demographie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Réau (77550),https://www.journaldunet.com/management/ville/reau/ville-77384/demographie/demographie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Just-en-Brie (77370),https://www.journaldunet.com/management/ville/saint-just-en-brie/ville-77416/demographie,241.0,33.0,91.0,2.6,71.0,3.0,1.0,2.0,117.0,124.0,41.0,51.0,37.0,76.0,25.0,11.0,10.0,25.0,35.0,30.0,10.0,20.0,10.0,0.0,61.0,84.0,8.0,15.0,20.0,12.0,15.0,6.0,9.0,2.0,1.0,9.0,3.0,15.0,5.0,10.0,1.0,1.0,8.0,5.0,251.0,255.0,258.0,251.0,244.0,237.0,234.0,231.0,233.0,236.0,238.0,240.0,241.0,8.0,5.0,3.0,6.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,7.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,9.0,9.0,9.0,12.0,12.0,12.0,12.0,12.0,15.0,15.0,15.0,15.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,15.0,15.0
Dammartin-en-Goële (77230),https://www.journaldunet.com/management/ville/dammartin-en-goele/ville-77153/demographie,10196.0,1137.0,3945.0,2.6,2875.0,141.0,50.0,91.0,5010.0,5186.0,2351.0,1922.0,2338.0,2013.0,1149.0,376.0,465.0,940.0,1470.0,1140.0,670.0,745.0,240.0,80.0,2135.0,3566.0,386.0,328.0,1011.0,419.0,597.0,300.0,297.0,99.0,50.0,332.0,116.0,,,,,,,,7948.0,7967.0,7986.0,7962.0,8052.0,8258.0,8464.0,8669.0,8868.0,9302.0,9644.0,9920.0,10196.0,97.0,99.0,95.0,83.0,95.0,104.0,109.0,110.0,109.0,118.0,85.0,92.0,121.0,119.0,126.0,129.0,153.0,146.0,145.0,128.0,141.0,50.0,39.0,48.0,49.0,44.0,42.0,32.0,35.0,38.0,31.0,27.0,36.0,45.0,41.0,31.0,41.0,47.0,58.0,43.0,43.0,50.0,323.0,324.0,325.0,321.0,322.0,380.0,388.0,396.0,405.0,425.0,567.0,581.0,597.0,,,,,,,,,,,,,
Fontaine-Fourches (77480),https://www.journaldunet.com/management/ville/fontaine-fourches/ville-77187/demographie/demographie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagny-sur-Marne (77400),https://www.journaldunet.com/management/ville/lagny-sur-marne/ville-77243/demographie/demographie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizy-sur-Ourcq (77440),https://www.journaldunet.com/management/ville/lizy-sur-ourcq/ville-77257/demographie/demographie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gesvres-le-Chapitre (77165),https://www.journaldunet.com/management/ville/gesvres-le-chapitre/ville-77205/demographie/demographie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Soupplets (77165),https://www.journaldunet.com/management/ville/saint-soupplets/ville-77437/demographie,3233.0,235.0,1203.0,2.7,892.0,24.0,28.0,-4.0,1564.0,1669.0,672.0,571.0,634.0,704.0,438.0,174.0,125.0,301.0,466.0,376.0,165.0,231.0,90.0,30.0,692.0,1143.0,145.0,151.0,294.0,137.0,116.0,65.0,51.0,26.0,4.0,50.0,36.0,187.0,100.0,87.0,5.0,2.0,102.0,78.0,3327.0,3300.0,3273.0,3246.0,3249.0,3231.0,3238.0,3246.0,3253.0,3266.0,3252.0,3243.0,3233.0,47.0,57.0,38.0,40.0,57.0,42.0,45.0,44.0,46.0,43.0,32.0,59.0,46.0,46.0,37.0,32.0,30.0,32.0,30.0,35.0,24.0,6.0,16.0,11.0,24.0,24.0,19.0,24.0,15.0,18.0,30.0,29.0,24.0,25.0,19.0,20.0,23.0,20.0,26.0,23.0,32.0,28.0,80.0,73.0,73.0,73.0,73.0,73.0,83.0,83.0,83.0,83.0,83.0,116.0,116.0,72.0,165.0,163.0,163.0,163.0,161.0,174.0,175.0,175.0,175.0,174.0,187.0,187.0
Mondreville (77570),https://www.journaldunet.com/management/ville/mondreville/ville-77297/demographie/demographie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Rémy-la-Vanne (77320),https://www.journaldunet.com/management/ville/saint-remy-la-vanne/ville-77432/demographie,987.0,65.0,413.0,2.4,289.0,6.0,8.0,-2.0,487.0,500.0,187.0,154.0,173.0,247.0,152.0,67.0,40.0,114.0,134.0,124.0,75.0,60.0,25.0,5.0,184.0,355.0,41.0,52.0,131.0,37.0,24.0,14.0,10.0,3.0,0.0,13.0,8.0,36.0,22.0,14.0,1.0,0.0,20.0,15.0,893.0,922.0,950.0,977.0,994.0,991.0,988.0,987.0,986.0,982.0,978.0,983.0,987.0,5.0,15.0,13.0,9.0,9.0,11.0,10.0,14.0,7.0,16.0,7.0,8.0,7.0,12.0,12.0,7.0,8.0,5.0,3.0,13.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,10.0,9.0,8.0,5.0,3.0,8.0,5.0,1.0,4.0,4.0,1.0,5.0,5.0,11.0,8.0,11.0,14.0,14.0,14.0,14.0,14.0,12.0,12.0,12.0,12.0,12.0,24.0,24.0,10.0,26.0,26.0,26.0,26.0,26.0,34.0,34.0,34.0,34.0,34.0,36.0,36.0
Nanteau-sur-Essonne (77760),https://www.journaldunet.com/management/ville/nanteau-sur-essonne/ville-77328/demographie,431.0,33.0,200.0,2.2,145.0,1.0,1.0,0.0,216.0,215.0,60.0,49.0,62.0,115.0,99.0,43.0,30.0,65.0,50.0,75.0,45.0,20.0,5.0,0.0,72.0,210.0,14.0,20.0,45.0,10.0,8.0,2.0,6.0,1.0,0.0,7.0,0.0,18.0,6.0,12.0,1.0,1.0,12.0,4.0,422.0,426.0,430.0,430.0,427.0,434.0,442.0,449.0,445.0,443.0,439.0,435.0,431.0,2.0,4.0,4.0,4.0,7.0,4.0,4.0,1.0,5.0,4.0,3.0,2.0,4.0,7.0,0.0,2.0,1.0,1.0,4.0,3.0,1.0,4.0,3.0,1.0,8.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,16.0,16.0,16.0,16.0,16.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0,18.0
Maisoncelles-en-Gâtinais (77570),https://www.journaldunet.com/management/ville/maisoncelles-en-gatinais/ville-77271/demographie/demographie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
