ville,lien,Région,Département,Etablissement public de coopération intercommunale (EPCI),Code postal (CP),Code Insee,Nom des habitants,Population (2018),Population : rang national (2018),Densité de population (2018),Taux de chômage (2018),Pavillon bleu,Ville d'art et d'histoire,Ville fleurie,Ville internet,Superficie (surface),Altitude min.,Altitude max.,Latitude,Longitude
Garentreville (77890),https://www.journaldunet.com/management/ville/garentreville/ville-77200,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Nemours,77890,77200,"Garentrevillois, Garentrevilloises",116 hab.,n°30 648 ,18 hab/km²,"3,3 %",non,non,Aucune fleur,Aucune arobase,"6,4 km²",107 mètre(s),144 mètre(s),"48,234","2,5598"
Fublaines (77470),https://www.journaldunet.com/management/ville/fublaines/ville-77199,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Meaux,77470,77199,"Fublainois, Fublainoises",1 386 hab.,n°7 455 ,253 hab/km²,"11,5 %",non,non,Aucune fleur,Aucune arobase,"5,5 km²",44 mètre(s),141 mètre(s),"48,9391","2,94067"
Saint-Cyr-sur-Morin (77750),https://www.journaldunet.com/management/ville/saint-cyr-sur-morin/ville-77405,Île-de-France,Seine-et-Marne,Communauté de communes des Deux Morin,77750,77405,"Saint-Cyriens, Saint-Cyriennes",1 960 hab.,n°5 484 ,103 hab/km²,"9,7 %",non,non,Aucune fleur,Aucune arobase,"19,1 km²",55 mètre(s),198 mètre(s),"48,9119","3,17473"
Rubelles (77950),https://www.journaldunet.com/management/ville/rubelles/ville-77394,Île-de-France,Seine-et-Marne,Communauté d'agglomération Melun Val de Seine,77950,77394,"Rubellois, Rubelloises",2 554 hab.,n°4 276 ,653 hab/km²,"11,3 %",non,non,Aucune fleur,Aucune arobase,"3,9 km²",48 mètre(s),84 mètre(s),"48,5646","2,68024"
Tournan-en-Brie (77220),https://www.journaldunet.com/management/ville/tournan-en-brie/ville-77470,Île-de-France,Seine-et-Marne,Communauté de communes les Portes Briardes Entre Villes et Forêts,77220,77470,"Tournanais, Tournanaises",8 613 hab.,n°1 213 ,557 hab/km²,"8,8 %",non,non,1 fleur(s),Aucune arobase,"15,5 km²",86 mètre(s),116 mètre(s),"48,7399","2,77821"
Boissise-le-Roi (77310),https://www.journaldunet.com/management/ville/boissise-le-roi/ville-77040,Île-de-France,Seine-et-Marne,Communauté d'agglomération Melun Val de Seine,77310,77040,"Régiboissiens, Régiboissiennes",3 768 hab.,n°2 927 ,531 hab/km²,"8,2 %",non,non,Aucune fleur,Aucune arobase,"7,1 km²",37 mètre(s),83 mètre(s),"48,512","2,56992"
Sancy-lès-Provins (77320),https://www.journaldunet.com/management/ville/sancy-les-provins/ville-77444,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77320,77444,"Sancéens, Sancéennes",317 hab.,n°21 274 ,17 hab/km²,"13,0 %",non,non,Aucune fleur,Aucune arobase,"18,2 km²",144 mètre(s),200 mètre(s),"48,7096","3,39288"
Dammarie-les-Lys (77190),https://www.journaldunet.com/management/ville/dammarie-les-lys/ville-77152,Île-de-France,Seine-et-Marne,Communauté d'agglomération Melun Val de Seine,77190,77152,"Dammariens, Dammariennes",22 177 hab.,n°407 ,2 166 hab/km²,"16,0 %",non,non,2 fleur(s),Aucune arobase,"10,2 km²",37 mètre(s),93 mètre(s),"48,5138","2,62854"
Ferrières-en-Brie (77164),https://www.journaldunet.com/management/ville/ferrieres-en-brie/ville-77181,Île-de-France,Seine-et-Marne,Communauté de communes Val Briard,77164,77181,nc,3 483 hab.,n°3 166 ,516 hab/km²,"7,7 %",non,non,2 fleur(s),Aucune arobase,"6,8 km²",84 mètre(s),126 mètre(s),"48,82","2,70761"
Meaux (77100),https://www.journaldunet.com/management/ville/meaux/ville-77284,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Meaux,77100,77284,"Meldois, Meldoises",55 416 hab.,n°104 ,3 707 hab/km²,"15,0 %",non,oui,4 fleur(s),Aucune arobase,"15,0 km²",39 mètre(s),107 mètre(s),"48,9571","2,90003"
Presles-en-Brie (77220),https://www.journaldunet.com/management/ville/presles-en-brie/ville-77377,Île-de-France,Seine-et-Marne,Communauté de communes Val Briard,77220,77377,"Preslois, Presloises",2 313 hab.,n°4 694 ,133 hab/km²,"6,5 %",non,non,Aucune fleur,Aucune arobase,"17,4 km²",78 mètre(s),107 mètre(s),"48,7132","2,73725"
Vendrest (77440),https://www.journaldunet.com/management/ville/vendrest/ville-77490,Île-de-France,Seine-et-Marne,Communauté de communes du Pays de l'Ourcq,77440,77490,"Vendrestois, Vendrestoises",713 hab.,n°12 826 ,40 hab/km²,"9,3 %",non,non,Aucune fleur,Aucune arobase,"17,7 km²",66 mètre(s),206 mètre(s),"49,0415","3,10843"
