ville,lien,Région,Département,Etablissement public de coopération intercommunale (EPCI),Code postal (CP),Code Insee,Nom des habitants,Population (2018),Population : rang national (2018),Densité de population (2018),Taux de chômage (2018),Pavillon bleu,Ville d'art et d'histoire,Ville fleurie,Ville internet,Superficie (surface),Altitude min.,Altitude max.,Latitude,Longitude
Pierre-Levée (77580),https://www.journaldunet.com/management/ville/pierre-levee/ville-77361,Île-de-France,Seine-et-Marne,Communauté de communes du Pays Fertois,77580,77361,"Pierre-Levéens, Pierre-Levéennes",468 hab.,n°17 226 ,36 hab/km²,"7,1 %",non,non,Aucune fleur,Aucune arobase,"12,9 km²",142 mètre(s),172 mètre(s),"48,8974","3,03672"
Perthes (77930),https://www.journaldunet.com/management/ville/perthes/ville-77359,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Fontainebleau,77930,77359,nc,1 986 hab.,n°5 429 ,163 hab/km²,"7,9 %",non,non,Aucune fleur,Aucune arobase,"12,2 km²",45 mètre(s),84 mètre(s),"48,4797","2,55038"
Jaignes (77440),https://www.journaldunet.com/management/ville/jaignes/ville-77235,Île-de-France,Seine-et-Marne,Communauté de communes du Pays de l'Ourcq,77440,77235,"Jaignaciens, Jaignaciennes",311 hab.,n°21 478 ,31 hab/km²,"12,4 %",non,non,Aucune fleur,Aucune arobase,"10,1 km²",47 mètre(s),177 mètre(s),"48,9871","3,07456"
Moisenay (77950),https://www.journaldunet.com/management/ville/moisenay/ville-77295,Île-de-France,Seine-et-Marne,Communauté de communes Brie des Rivières et Châteaux,77950,77295,"Moséniens, Moséniennes",1 383 hab.,n°7 472 ,159 hab/km²,"4,0 %",non,non,Aucune fleur,Aucune arobase,"8,7 km²",53 mètre(s),92 mètre(s),"48,5646","2,74111"
Saint-Thibault-des-Vignes (77400),https://www.journaldunet.com/management/ville/saint-thibault-des-vignes/ville-77438,Île-de-France,Seine-et-Marne,Communauté d'agglomération Marne et Gondoire,77400,77438,"Théobaldiens, Théobaldiennes",6 400 hab.,n°1 671 ,1 362 hab/km²,"12,8 %",non,non,1 fleur(s),3 arobase(s),"4,7 km²",39 mètre(s),99 mètre(s),"48,8637","2,67577"
Villevaudé (77410),https://www.journaldunet.com/management/ville/villevaude/ville-77517,Île-de-France,Seine-et-Marne,Communauté de communes Plaines et Monts de France,77410,77517,"Villevaudéens, Villevaudéennes",2 134 hab.,n°5 073 ,214 hab/km²,"8,0 %",non,non,1 fleur(s),Aucune arobase,"10,0 km²",56 mètre(s),132 mètre(s),"48,9118","2,66225"
Aufferville (77570),https://www.journaldunet.com/management/ville/aufferville/ville-77011,Île-de-France,Seine-et-Marne,Communauté de communes Gâtinais Val de Loing,77570,77011,"Auffervillois, Auffervilloises",506 hab.,n°16 427 ,29 hab/km²,"7,5 %",non,non,Aucune fleur,Aucune arobase,"17,7 km²",101 mètre(s),116 mètre(s),"48,2049","2,60097"
Hautefeuille (77515),https://www.journaldunet.com/management/ville/hautefeuille/ville-77224,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Coulommiers,77515,77224,"Hautefeuillois, Hautefeuilloises",256 hab.,n°23 530 ,26 hab/km²,"1,9 %",non,non,Aucune fleur,Aucune arobase,"9,8 km²",111 mètre(s),126 mètre(s),"48,7665","2,96359"
Villuis (77480),https://www.journaldunet.com/management/ville/villuis/ville-77523,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77480,77523,"Villuisiens, Villuisiennes",260 hab.,n°23 397 ,28 hab/km²,"7,5 %",non,non,Aucune fleur,Aucune arobase,"9,3 km²",62 mètre(s),147 mètre(s),"48,4053","3,35904"
Messy (77410),https://www.journaldunet.com/management/ville/messy/ville-77292,Île-de-France,Seine-et-Marne,Communauté de communes Plaines et Monts de France,77410,77292,"Messiens, Messiennes",1 174 hab.,n°8 619 ,114 hab/km²,"5,6 %",non,non,Aucune fleur,Aucune arobase,"10,3 km²",49 mètre(s),98 mètre(s),"48,9671","2,70116"
Aulnoy (77120),https://www.journaldunet.com/management/ville/aulnoy/ville-77013,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Coulommiers,77120,77013,"Alnésiens, Alnésiennes",358 hab.,n°19 928 ,25 hab/km²,"5,6 %",non,non,Aucune fleur,Aucune arobase,"14,3 km²",84 mètre(s),149 mètre(s),"48,8489","3,08941"
Chauconin-Neufmontiers (77124),https://www.journaldunet.com/management/ville/chauconin-neufmontiers/ville-77335,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Meaux,77124,77335,"Coconiaciens-Neufmontois, Coconiaciennes-Neufmontoises",3 422 hab.,n°3 226 ,197 hab/km²,"9,1 %",non,non,Aucune fleur,2 arobase(s),"17,4 km²",58 mètre(s),162 mètre(s),"48,9719","2,83159"
Cesson (77240),https://www.journaldunet.com/management/ville/cesson/ville-77067,Île-de-France,Seine-et-Marne,Communauté d'agglomération Grand Paris Sud Seine Essonne Sénart,77240,77067,"Cessonnais, Cessonnaises",10 625 hab.,n°934 ,1 522 hab/km²,"8,7 %",non,non,2 fleur(s),Aucune arobase,"7,0 km²",62 mètre(s),86 mètre(s),"48,5647","2,59524"
Pontcarré (77135),https://www.journaldunet.com/management/ville/pontcarre/ville-77374,Île-de-France,Seine-et-Marne,Communauté de communes Val Briard,77135,77374,"Pontcarréens, Pontcarréennes",2 219 hab.,n°4 885 ,235 hab/km²,"6,1 %",non,non,Aucune fleur,Aucune arobase,"9,5 km²",111 mètre(s),119 mètre(s),"48,7963","2,70744"
Chailly-en-Bière (77930),https://www.journaldunet.com/management/ville/chailly-en-biere/ville-77069,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Fontainebleau,77930,77069,"Chaillotins, Chaillotines",2 064 hab.,n°5 236 ,158 hab/km²,"7,8 %",non,non,Aucune fleur,Aucune arobase,"13,1 km²",76 mètre(s),93 mètre(s),"48,4698","2,61165"
Chalautre-la-Grande (77171),https://www.journaldunet.com/management/ville/chalautre-la-grande/ville-77072,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77171,77072,"Chalautriers, Chalautrières",692 hab.,n°13 111 ,38 hab/km²,"9,2 %",non,non,Aucune fleur,Aucune arobase,"18,3 km²",89 mètre(s),183 mètre(s),"48,5498","3,44638"
Beauchery-Saint-Martin (77560),https://www.journaldunet.com/management/ville/beauchery-saint-martin/ville-77026,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77560,77026,nc,363 hab.,n°19 816 ,13 hab/km²,"11,3 %",non,non,Aucune fleur,Aucune arobase,"28,0 km²",138 mètre(s),172 mètre(s),"48,6022","3,42081"
Vulaines-lès-Provins (77160),https://www.journaldunet.com/management/ville/vulaines-les-provins/ville-77532,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77160,77532,nc,66 hab.,n°33 384 ,6 hab/km²,"5,1 %",non,non,Aucune fleur,Aucune arobase,"10,8 km²",100 mètre(s),154 mètre(s),"48,5636","3,21952"
Vaux-le-Pénil (77000),https://www.journaldunet.com/management/ville/vaux-le-penil/ville-77487,Île-de-France,Seine-et-Marne,Communauté d'agglomération Melun Val de Seine,77000,77487,"Pénivauxois, Pénivauxoises",10 985 hab.,n°901 ,944 hab/km²,"8,7 %",non,non,2 fleur(s),Aucune arobase,"11,6 km²",37 mètre(s),96 mètre(s),"48,5246","2,69727"
Montry (77450),https://www.journaldunet.com/management/ville/montry/ville-77315,Île-de-France,Seine-et-Marne,Communauté de communes Pays Créçois,77450,77315,"Montéricultois, Montéricultoises",3 688 hab.,n°3 006 ,1 290 hab/km²,"8,0 %",non,non,1 fleur(s),Aucune arobase,"2,9 km²",43 mètre(s),128 mètre(s),"48,8859","2,8232"
Mouy-sur-Seine (77480),https://www.journaldunet.com/management/ville/mouy-sur-seine/ville-77325,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77480,77325,"Mouytois, Mouytoises",357 hab.,n°19 985 ,41 hab/km²,"10,5 %",non,non,Aucune fleur,Aucune arobase,"8,6 km²",52 mètre(s),58 mètre(s),"48,4321","3,24604"
Voulx (77940),https://www.journaldunet.com/management/ville/voulx/ville-77531,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Montereau,77940,77531,"Voulxois, Voulxoises",1 697 hab.,n°6 253 ,135 hab/km²,"12,0 %",non,non,Aucune fleur,1 arobase(s),"12,6 km²",82 mètre(s),157 mètre(s),"48,2852","2,96998"
Serris (77700),https://www.journaldunet.com/management/ville/serris/ville-77449,Île-de-France,Seine-et-Marne,Communauté d'agglomération Val d'Europe Agglomération,77700,77449,"Serrissiens, Serrissiennes",9 236 hab.,n°1 106 ,1 635 hab/km²,"10,5 %",non,non,3 fleur(s),4 arobase(s),"5,7 km²",123 mètre(s),133 mètre(s),"48,8448","2,78755"
Coutevroult (77580),https://www.journaldunet.com/management/ville/coutevroult/ville-77141,Île-de-France,Seine-et-Marne,Communauté de communes Pays Créçois,77580,77141,"Coutevroultois, Coutevroultoises",1 138 hab.,n°8 871 ,146 hab/km²,"6,1 %",non,non,Aucune fleur,Aucune arobase,"7,8 km²",47 mètre(s),142 mètre(s),"48,8533","2,8481"
Frétoy (77320),https://www.journaldunet.com/management/ville/fretoy/ville-77197,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77320,77197,"Frétoysiens, Frétoysiennes",167 hab.,n°27 747 ,26 hab/km²,"6,4 %",non,non,Aucune fleur,Aucune arobase,"6,4 km²",125 mètre(s),162 mètre(s),"48,7064","3,20261"
Marles-en-Brie (77610),https://www.journaldunet.com/management/ville/marles-en-brie/ville-77277,Île-de-France,Seine-et-Marne,Communauté de communes Val Briard,77610,77277,"Marlois, Marloises",1 730 hab.,n°6 145 ,135 hab/km²,"8,7 %",non,non,Aucune fleur,Aucune arobase,"12,8 km²",102 mètre(s),114 mètre(s),"48,7249","2,88848"
Maisoncelles-en-Gâtinais (77570),https://www.journaldunet.com/management/ville/maisoncelles-en-gatinais/ville-77271,Île-de-France,Seine-et-Marne,Communauté de communes Gâtinais Val de Loing,77570,77271,"Maisoncellois, Maisoncelloises",134 hab.,n°29 573 ,16 hab/km²,"6,5 %",non,non,Aucune fleur,Aucune arobase,"8,6 km²",101 mètre(s),118 mètre(s),"48,1828","2,62123"
Changis-sur-Marne (77660),https://www.journaldunet.com/management/ville/changis-sur-marne/ville-77084,Île-de-France,Seine-et-Marne,Communauté de communes du Pays Fertois,77660,77084,"Changissiens, Changissiennes",1 320 hab.,n°7 789 ,189 hab/km²,"8,6 %",non,non,Aucune fleur,Aucune arobase,"7,0 km²",48 mètre(s),107 mètre(s),"48,9664","3,02513"
Évry-Grégy-sur-Yerre (77166),https://www.journaldunet.com/management/ville/evry-gregy-sur-yerre/ville-77175,Île-de-France,Seine-et-Marne,Communauté de communes Brie des Rivières et Châteaux,77166,77175,"Everyciens, Everyciennes",2 942 hab.,n°3 755 ,154 hab/km²,"6,2 %",non,non,Aucune fleur,Aucune arobase,"19,1 km²",50 mètre(s),97 mètre(s),"48,6536","2,63969"
Charny (77410),https://www.journaldunet.com/management/ville/charny/ville-77095,Île-de-France,Seine-et-Marne,Communauté de communes Plaines et Monts de France,77410,77095,nc,1 347 hab.,n°7 654 ,107 hab/km²,"5,8 %",non,non,2 fleur(s),Aucune arobase,"12,5 km²",65 mètre(s),120 mètre(s),"48,9698","2,756"
Chenou (77570),https://www.journaldunet.com/management/ville/chenou/ville-77110,Île-de-France,Seine-et-Marne,Communauté de communes Gâtinais Val de Loing,77570,77110,"Chenouards, Chenouardes",320 hab.,n°21 137 ,23 hab/km²,"11,3 %",non,non,Aucune fleur,Aucune arobase,"13,7 km²",93 mètre(s),118 mètre(s),"48,165","2,65274"
Nanteau-sur-Lunain (77710),https://www.journaldunet.com/management/ville/nanteau-sur-lunain/ville-77329,Île-de-France,Seine-et-Marne,Communauté de communes Moret Seine et Loing,77710,77329,"Nantelliens, Nantelliennes",691 hab.,n°13 132 ,52 hab/km²,"5,3 %",non,non,Aucune fleur,Aucune arobase,"13,3 km²",71 mètre(s),146 mètre(s),"48,2543","2,81304"
Chevrainvilliers (77760),https://www.journaldunet.com/management/ville/chevrainvilliers/ville-77112,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Nemours,77760,77112,"Capaivillariens, Capaivillariennes",250 hab.,n°23 785 ,28 hab/km²,"10,6 %",non,non,Aucune fleur,Aucune arobase,"9,0 km²",85 mètre(s),118 mètre(s),"48,246","2,60246"
Chanteloup-en-Brie (77600),https://www.journaldunet.com/management/ville/chanteloup-en-brie/ville-77085,Île-de-France,Seine-et-Marne,Communauté d'agglomération Marne et Gondoire,77600,77085,"Chanteloupiens, Chanteloupiennes",3 966 hab.,n°2 789 ,1 251 hab/km²,"8,0 %",non,non,1 fleur(s),1 arobase(s),"3,2 km²",90 mètre(s),124 mètre(s),"48,8578","2,74039"
Quiers (77720),https://www.journaldunet.com/management/ville/quiers/ville-77381,Île-de-France,Seine-et-Marne,Communauté de communes Brie Nangissienne,77720,77381,"Quierçois, Quierçoises",667 hab.,n°13 491 ,56 hab/km²,"7,1 %",non,non,Aucune fleur,Aucune arobase,"11,9 km²",108 mètre(s),126 mètre(s),"48,6142","2,9616"
Arville (77890),https://www.journaldunet.com/management/ville/arville/ville-77009,Île-de-France,Seine-et-Marne,Communauté de communes Gâtinais Val de Loing,77890,77009,nc,124 hab.,n°30 140 ,11 hab/km²,"6,6 %",non,non,Aucune fleur,Aucune arobase,"11,3 km²",97 mètre(s),110 mètre(s),"48,1813","2,55658"
Luisetaines (77520),https://www.journaldunet.com/management/ville/luisetaines/ville-77263,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77520,77263,nc,240 hab.,n°24 259 ,48 hab/km²,"9,9 %",non,non,Aucune fleur,Aucune arobase,"5,0 km²",54 mètre(s),125 mètre(s),"48,4611","3,18563"
Aubepierre-Ozouer-le-Repos (77720),https://www.journaldunet.com/management/ville/aubepierre-ozouer-le-repos/ville-77010,Île-de-France,Seine-et-Marne,Communauté de communes Brie Nangissienne,77720,77010,"Albapétruciens, Albapétruciennes",921 hab.,n°10 562 ,34 hab/km²,"6,2 %",non,non,Aucune fleur,Aucune arobase,"26,8 km²",79 mètre(s),122 mètre(s),"48,6203","2,90288"
Courquetaine (77390),https://www.journaldunet.com/management/ville/courquetaine/ville-77136,Île-de-France,Seine-et-Marne,Communauté de communes Brie des Rivières et Châteaux,77390,77136,"Courquetainois, Courquetainoises",192 hab.,n°26 494 ,25 hab/km²,"6,7 %",non,non,Aucune fleur,Aucune arobase,"7,8 km²",75 mètre(s),106 mètre(s),"48,6799","2,74755"
Mormant (77720),https://www.journaldunet.com/management/ville/mormant/ville-77317,Île-de-France,Seine-et-Marne,Communauté de communes Brie Nangissienne,77720,77317,"Mormantais, Mormantaises",4 924 hab.,n°2 228 ,297 hab/km²,"10,2 %",non,non,Aucune fleur,Aucune arobase,"16,6 km²",100 mètre(s),122 mètre(s),"48,5978","2,88205"
Salins (77148),https://www.journaldunet.com/management/ville/salins/ville-77439,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Montereau,77148,77439,nc,1 138 hab.,n°8 880 ,108 hab/km²,"8,9 %",non,non,Aucune fleur,Aucune arobase,"10,6 km²",59 mètre(s),138 mètre(s),"48,4317","3,01942"
Jablines (77450),https://www.journaldunet.com/management/ville/jablines/ville-77234,Île-de-France,Seine-et-Marne,Communauté d'agglomération Marne et Gondoire,77450,77234,"Jablinois, Jablinoises",691 hab.,n°13 128 ,86 hab/km²,"7,5 %",non,non,Aucune fleur,Aucune arobase,"8,0 km²",37 mètre(s),78 mètre(s),"48,9145","2,7566"
Bannost-Villegagnon (77970),https://www.journaldunet.com/management/ville/bannost-villegagnon/ville-77020,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77970,77020,"Bannostiens, Bannostiennes",648 hab.,n°13 788 ,33 hab/km²,"10,7 %",non,non,Aucune fleur,Aucune arobase,"19,4 km²",125 mètre(s),166 mètre(s),"48,6754","3,19191"
Rampillon (77370),https://www.journaldunet.com/management/ville/rampillon/ville-77383,Île-de-France,Seine-et-Marne,Communauté de communes Brie Nangissienne,77370,77383,"Rampillonnais, Rampillonnaises",828 hab.,n°11 478 ,36 hab/km²,"8,0 %",non,non,Aucune fleur,Aucune arobase,"23,1 km²",120 mètre(s),144 mètre(s),"48,541","3,07288"
Crécy-la-Chapelle (77580),https://www.journaldunet.com/management/ville/crecy-la-chapelle/ville-77142,Île-de-France,Seine-et-Marne,Communauté de communes Pays Créçois,77580,77142,"Créçois, Créçoises",4 669 hab.,n°2 362 ,296 hab/km²,"7,6 %",non,non,Aucune fleur,Aucune arobase,"15,8 km²",45 mètre(s),157 mètre(s),"48,8567","2,93331"
Gurcy-le-Châtel (77520),https://www.journaldunet.com/management/ville/gurcy-le-chatel/ville-77223,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77520,77223,"Gurcyssois, Gurcyssoises",568 hab.,n°15 177 ,45 hab/km²,"8,7 %",non,non,Aucune fleur,Aucune arobase,"12,6 km²",94 mètre(s),149 mètre(s),"48,4845","3,08091"
Pringy (77310),https://www.journaldunet.com/management/ville/pringy/ville-77378,Île-de-France,Seine-et-Marne,Communauté d'agglomération Melun Val de Seine,77310,77378,nc,2 894 hab.,n°3 812 ,706 hab/km²,"8,6 %",non,non,Aucune fleur,Aucune arobase,"4,1 km²",40 mètre(s),79 mètre(s),"48,5177","2,55003"
Crégy-lès-Meaux (77124),https://www.journaldunet.com/management/ville/cregy-les-meaux/ville-77143,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Meaux,77124,77143,"Crégyssois, Crégyssoises",5 145 hab.,n°2 124 ,1 402 hab/km²,"11,5 %",non,non,2 fleur(s),Aucune arobase,"3,7 km²",45 mètre(s),122 mètre(s),"48,9777","2,87369"
Champcenest (77560),https://www.journaldunet.com/management/ville/champcenest/ville-77080,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77560,77080,"Champcenestois, Champcenestoises",202 hab.,n°26 039 ,16 hab/km²,"4,1 %",non,non,Aucune fleur,Aucune arobase,"12,5 km²",142 mètre(s),173 mètre(s),"48,6709","3,27677"
Cuisy (77165),https://www.journaldunet.com/management/ville/cuisy/ville-77150,Île-de-France,Seine-et-Marne,Communauté de communes Plaines et Monts de France,77165,77150,nc,447 hab.,n°17 694 ,134 hab/km²,"5,4 %",non,non,Aucune fleur,Aucune arobase,"3,3 km²",102 mètre(s),185 mètre(s),"49,0198","2,77789"
Voulangis (77580),https://www.journaldunet.com/management/ville/voulangis/ville-77529,Île-de-France,Seine-et-Marne,Communauté de communes Pays Créçois,77580,77529,"Voulangeois, Voulangeoises",1 508 hab.,n°6 944 ,157 hab/km²,"6,3 %",non,non,Aucune fleur,Aucune arobase,"9,6 km²",45 mètre(s),136 mètre(s),"48,8403","2,88972"
Saint-Rémy-la-Vanne (77320),https://www.journaldunet.com/management/ville/saint-remy-la-vanne/ville-77432,Île-de-France,Seine-et-Marne,Communauté de communes des Deux Morin,77320,77432,"Saint-Rémois, Saint-Rémoises",987 hab.,n°10 044 ,65 hab/km²,"11,6 %",non,non,Aucune fleur,Aucune arobase,"15,1 km²",85 mètre(s),175 mètre(s),"48,8125","3,24204"
Chalmaison (77650),https://www.journaldunet.com/management/ville/chalmaison/ville-77076,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77650,77076,"Chalmaisonais, Chalmaisonaises",754 hab.,n°12 291 ,75 hab/km²,"10,1 %",non,non,Aucune fleur,Aucune arobase,"10,0 km²",59 mètre(s),154 mètre(s),"48,4902","3,25644"
Cessoy-en-Montois (77520),https://www.journaldunet.com/management/ville/cessoy-en-montois/ville-77068,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77520,77068,"Cessoyens, Cessoyennes",215 hab.,n°25 381 ,41 hab/km²,"11,5 %",non,non,Aucune fleur,Aucune arobase,"5,3 km²",95 mètre(s),148 mètre(s),"48,5073","3,13884"
Nandy (77176),https://www.journaldunet.com/management/ville/nandy/ville-77326,Île-de-France,Seine-et-Marne,Communauté d'agglomération Grand Paris Sud Seine Essonne Sénart,77176,77326,"Nandéens, Nandéennes",6 179 hab.,n°1 747 ,722 hab/km²,"11,3 %",non,non,Aucune fleur,2 arobase(s),"8,6 km²",37 mètre(s),87 mètre(s),"48,5821","2,54783"
Rozay-en-Brie (77540),https://www.journaldunet.com/management/ville/rozay-en-brie/ville-77393,Île-de-France,Seine-et-Marne,Communauté de communes Val Briard,77540,77393,nc,2 807 hab.,n°3 943 ,885 hab/km²,"9,1 %",non,non,Aucune fleur,Aucune arobase,"3,2 km²",81 mètre(s),110 mètre(s),"48,6835","2,96386"
Roissy-en-Brie (77680),https://www.journaldunet.com/management/ville/roissy-en-brie/ville-77390,Île-de-France,Seine-et-Marne,Communauté d'agglomération Paris - Vallée de la Marne,77680,77390,nc,22 836 hab.,n°391 ,1 673 hab/km²,"10,9 %",non,non,2 fleur(s),Aucune arobase,"13,7 km²",95 mètre(s),115 mètre(s),"48,7901","2,66122"
Pécy (77970),https://www.journaldunet.com/management/ville/pecy/ville-77357,Île-de-France,Seine-et-Marne,Communauté de communes Val Briard,77970,77357,"Peciaquois, Peciaquoises",857 hab.,n°11 186 ,41 hab/km²,"6,8 %",non,non,Aucune fleur,Aucune arobase,"21,1 km²",109 mètre(s),145 mètre(s),"48,6467","3,07508"
La Chapelle-Moutils (77320),https://www.journaldunet.com/management/ville/la-chapelle-moutils/ville-77093,Île-de-France,Seine-et-Marne,Communauté de communes des Deux Morin,77320,77093,"Capellomoutillais, Capellomoutillaises",443 hab.,n°17 786 ,23 hab/km²,"12,0 %",non,non,Aucune fleur,Aucune arobase,"18,9 km²",117 mètre(s),197 mètre(s),"48,7774","3,38272"
La Chapelle-Rablais (77370),https://www.journaldunet.com/management/ville/la-chapelle-rablais/ville-77089,Île-de-France,Seine-et-Marne,Communauté de communes Brie Nangissienne,77370,77089,"Capello-Rablaisiens, Capello-Rablaisiennes",928 hab.,n°10 498 ,60 hab/km²,"4,8 %",non,non,Aucune fleur,Aucune arobase,"15,4 km²",104 mètre(s),136 mètre(s),"48,5059","2,96076"
Vulaines-sur-Seine (77870),https://www.journaldunet.com/management/ville/vulaines-sur-seine/ville-77533,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Fontainebleau,77870,77533,"Vulainois, Vulainoises",2 732 hab.,n°4 032 ,618 hab/km²,"8,9 %",non,non,Aucune fleur,Aucune arobase,"4,4 km²",42 mètre(s),104 mètre(s),"48,4316","2,76935"
Vanvillé (77370),https://www.journaldunet.com/management/ville/vanville/ville-77481,Île-de-France,Seine-et-Marne,Communauté de communes Brie Nangissienne,77370,77481,"Vanvilléens, Vanvilléennes",186 hab.,n°26 838 ,25 hab/km²,"12,5 %",non,non,Aucune fleur,Aucune arobase,"7,5 km²",134 mètre(s),153 mètre(s),"48,5547","3,11551"
Diant (77940),https://www.journaldunet.com/management/ville/diant/ville-77158,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Montereau,77940,77158,"Darnios, Darnioses",198 hab.,n°26 209 ,18 hab/km²,"5,9 %",non,non,Aucune fleur,Aucune arobase,"10,9 km²",93 mètre(s),155 mètre(s),"48,2914","3,00508"
Fouju (77390),https://www.journaldunet.com/management/ville/fouju/ville-77195,Île-de-France,Seine-et-Marne,Communauté de communes Brie des Rivières et Châteaux,77390,77195,"Forjaviens, Forjaviennes",573 hab.,n°15 106 ,73 hab/km²,"4,5 %",non,non,Aucune fleur,Aucune arobase,"7,8 km²",84 mètre(s),99 mètre(s),"48,5874","2,76526"
Bois-le-Roi (77590),https://www.journaldunet.com/management/ville/bois-le-roi/ville-77037,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Fontainebleau,77590,77037,nc,5 882 hab.,n°1 850 ,851 hab/km²,"8,1 %",non,non,Aucune fleur,Aucune arobase,"6,9 km²",38 mètre(s),91 mètre(s),"48,476","2,7016"
Favières (77220),https://www.journaldunet.com/management/ville/favieres/ville-77177,Île-de-France,Seine-et-Marne,Communauté de communes Val Briard,77220,77177,nc,1 125 hab.,n°8 980 ,40 hab/km²,"9,0 %",non,non,Aucune fleur,Aucune arobase,"28,3 km²",92 mètre(s),126 mètre(s),"48,7803","2,768"
Gastins (77370),https://www.journaldunet.com/management/ville/gastins/ville-77201,Île-de-France,Seine-et-Marne,Communauté de communes Brie Nangissienne,77370,77201,"Gastinois, Gastinoises",682 hab.,n°13 263 ,46 hab/km²,"7,9 %",non,non,Aucune fleur,Aucune arobase,"15,0 km²",93 mètre(s),139 mètre(s),"48,6268","3,02021"
Sainte-Colombe (77650),https://www.journaldunet.com/management/ville/sainte-colombe/ville-77404,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77650,77404,nc,1 820 hab.,n°5 856 ,223 hab/km²,"12,5 %",non,non,Aucune fleur,Aucune arobase,"8,2 km²",71 mètre(s),153 mètre(s),"48,5344","3,25919"
Montereau-Fault-Yonne (77130),https://www.journaldunet.com/management/ville/montereau-fault-yonne/ville-77305,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Montereau,77130,77305,"Monterelais, Monterelaises",20 712 hab.,n°453 ,2 276 hab/km²,"24,9 %",non,non,3 fleur(s),3 arobase(s),"9,1 km²",47 mètre(s),121 mètre(s),"48,3899","2,96155"
Rebais (77510),https://www.journaldunet.com/management/ville/rebais/ville-77385,Île-de-France,Seine-et-Marne,Communauté de communes des Deux Morin,77510,77385,"Resbaciens, Resbaciennes",2 290 hab.,n°4 742 ,207 hab/km²,"13,0 %",non,non,1 fleur(s),Aucune arobase,"11,1 km²",119 mètre(s),187 mètre(s),"48,858","3,23287"
Barcy (77910),https://www.journaldunet.com/management/ville/barcy/ville-77023,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Meaux,77910,77023,"Barciens, Barciennes",310 hab.,n°21 509 ,45 hab/km²,"9,2 %",non,non,Aucune fleur,Aucune arobase,"7,0 km²",86 mètre(s),160 mètre(s),"49,0169","2,87656"
Bransles (77620),https://www.journaldunet.com/management/ville/bransles/ville-77050,Île-de-France,Seine-et-Marne,Communauté de communes Gâtinais Val de Loing,77620,77050,"Bransledais, Bransledaises",553 hab.,n°15 444 ,40 hab/km²,"14,8 %",non,non,Aucune fleur,Aucune arobase,"13,9 km²",77 mètre(s),120 mètre(s),"48,1491","2,82814"
Faÿ-lès-Nemours (77167),https://www.journaldunet.com/management/ville/fay-les-nemours/ville-77178,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Nemours,77167,77178,"Fayssiens, Fayssiennes",491 hab.,n°16 764 ,63 hab/km²,"5,7 %",non,non,Aucune fleur,Aucune arobase,"7,8 km²",63 mètre(s),122 mètre(s),"48,2277","2,66412"
Saint-Pathus (77178),https://www.journaldunet.com/management/ville/saint-pathus/ville-77430,Île-de-France,Seine-et-Marne,Communauté de communes Plaines et Monts de France,77178,77430,"Saint-Pathusiens, Saint-Pathusiennes",6 094 hab.,n°1 782 ,1 137 hab/km²,"9,0 %",non,non,Aucune fleur,Aucune arobase,"5,4 km²",89 mètre(s),113 mètre(s),"49,0738","2,78794"
Jaulnes (77480),https://www.journaldunet.com/management/ville/jaulnes/ville-77236,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77480,77236,"Jaulnois, Jaulnoises",353 hab.,n°20 086 ,22 hab/km²,"4,8 %",non,non,Aucune fleur,Aucune arobase,"15,8 km²",54 mètre(s),122 mètre(s),"48,4145","3,27635"
